Year,Tm,W,L,Finish,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,Stadium
2023,Washington Nationals,25,35,5,690991,21593,12th of 15,"$98,376,067 ",96,94,Nationals Park
2022,Washington Nationals,55,107,5,2026401,25017,11th of 15,"$125,051,666 ",96,94,Nationals Park
2021,Washington Nationals,65,97,5,1465543,18093,12th of 15,"$172,370,147 ",96,95,Nationals Park
2020,Washington Nationals,26,34,5,,,15th of 15,"$172,237,283 ",99,99,Nationals Park
2019,Washington Nationals,93,69,2,2259781,27899,11th of 15,"$203,016,595 ",102,102,Nationals Park
2018,Washington Nationals,82,80,2,2529604,31230,8th of 15,"$188,886,699 ",105,106,Nationals Park
2017,Washington Nationals,97,65,1,2524980,31173,7th of 15,"$175,587,301 ",103,104,Nationals Park
2016,Washington Nationals,95,67,1,2481938,30641,7th of 15,"$152,967,400 ",102,103,Nationals Park
2015,Washington Nationals,83,79,2,2619843,32344,5th of 15,"$176,496,372 ",101,102,Nationals Park
2014,Washington Nationals,96,66,1,2579389,31844,7th of 15,"$137,235,080 ",102,104,Nationals Park
2013,Washington Nationals,86,76,2,2652422,32746,6th of 15,"$112,493,250 ",101,103,Nationals Park
2012,Washington Nationals,98,64,1,2370794,29269,9th of 16,"$92,386,000 ",101,101,Nationals Park
2011,Washington Nationals,80,81,3,1940478,24256,14th of 16,"$68,492,928 ",100,100,Nationals Park
2010,Washington Nationals,69,93,5,1828066,22569,14th of 16,"$67,701,000 ",100,99,Nationals Park
2009,Washington Nationals,59,103,5,1817226,22435,13th of 16,"$64,384,000 ",101,99,Nationals Park
2008,Washington Nationals,59,102,5,2320400,29005,13th of 16,"$54,961,000 ",100,98,Nationals Park
2007,Washington Nationals,73,89,4,1943812,23998,14th of 16,"$36,947,500 ",95,94,Robert F. Kennedy Stadium
2006,Washington Nationals,71,91,5,2153056,26581,11th of 16,"$63,143,000 ",95,94,Robert F. Kennedy Stadium
2005,Washington Nationals,81,81,5,2731993,33728,8th of 16,"$48,581,500 ",96,95,Robert F. Kennedy Stadium
2004,Montreal Expos,67,95,5,749550,9369,16th of 16,"$41,197,500 ",105,104,Stade Olympique Estadio Hiram Bithorn
2003,Montreal Expos,83,79,4,1025639,12662,16th of 16,"$51,948,500 ",105,105,Stade Olympique Estadio Hiram Bithorn
2002,Montreal Expos,83,79,2,812045,10025,16th of 16,"$38,670,500 ",103,103,Stade Olympique
2001,Montreal Expos,68,94,5,642745,7935,16th of 16,"$35,159,500 ",102,101,Stade Olympique
2000,Montreal Expos,67,95,4,926272,11435,16th of 16,"$32,994,333 ",104,103,Stade Olympique
1999,Montreal Expos,68,94,4,773277,9547,16th of 16,"$17,903,000 ",98,97,Stade Olympique
1998,Montreal Expos,65,97,4,914909,11295,16th of 16,"$10,641,500 ",99,98,Stade Olympique
1997,Montreal Expos,78,84,4,1497609,18489,13th of 14,"$19,295,500 ",99,99,Stade Olympique
1996,Montreal Expos,88,74,2,1616709,19959,11th of 14,"$16,264,500 ",102,102,Stade Olympique
1995,Montreal Expos,66,78,5,1309618,18189,10th of 14,"$12,473,000 ",103,103,Stade Olympique
1994,Montreal Expos,74,40,1,1276250,24543,11th of 14,"$19,098,000 ",100,101,Stade Olympique
1993,Montreal Expos,94,68,2,1641437,20265,13th of 14,"$18,899,333 ",103,104,Stade Olympique
1992,Montreal Expos,87,75,2,1669127,20607,10th of 12,"$15,822,334 ",99,100,Stade Olympique
1991,Montreal Expos,71,90,6,934742,13746,12th of 12,"$10,732,333 ",99,99,Stade Olympique
1990,Montreal Expos,85,77,3,1373087,16952,10th of 12,"$17,334,888 ",96,96,Stade Olympique
1989,Montreal Expos,81,81,4,1783533,22019,10th of 12,"$13,807,389 ",101,101,Stade Olympique
1988,Montreal Expos,81,81,3,1478659,18255,11th of 12,"$10,046,833 ",104,104,Stade Olympique
1987,Montreal Expos,91,71,3,1850324,22844,9th of 12,"$8,762,052 ",103,103,Stade Olympique
1986,Montreal Expos,78,83,4,1128981,14112,11th of 12,"$11,103,600 ",100,100,Stade Olympique
1985,Montreal Expos,84,77,3,1502494,18549,8th of 12,"$9,470,166 ",95,95,Stade Olympique
1984,Montreal Expos,78,83,5,1606531,19834,8th of 12,,96,96,Stade Olympique
1983,Montreal Expos,82,80,3,2320651,28650,3rd of 12,,98,99,Stade Olympique
1982,Montreal Expos,86,76,3,2318292,28621,3rd of 12,,101,102,Stade Olympique
1981,Montreal Expos,60,48,2,1534564,27403,3rd of 12,,100,101,Stade Olympique
1980,Montreal Expos,90,72,2,2208175,27602,4th of 12,,99,100,Stade Olympique
1979,Montreal Expos,95,65,2,2102173,25953,4th of 12,,98,99,Stade Olympique
1978,Montreal Expos,76,86,4,1427007,17838,7th of 12,,98,98,Stade Olympique
1977,Montreal Expos,75,87,5,1433757,17701,6th of 12,,97,96,Stade Olympique
1976,Montreal Expos,55,107,6,646704,8084,11th of 12,,106,105,Parc Jarry
1975,Montreal Expos,75,87,5,908292,11213,9th of 12,,106,104,Parc Jarry
1974,Montreal Expos,79,82,4,1019134,12739,9th of 12,,106,105,Parc Jarry
1973,Montreal Expos,79,83,4,1246863,15393,9th of 12,,103,103,Parc Jarry
1972,Montreal Expos,70,86,5,1142145,14643,9th of 12,,102,101,Parc Jarry
1971,Montreal Expos,71,90,5,1290963,16137,8th of 12,,101,99,Parc Jarry
1970,Montreal Expos,73,89,6,1424683,17809,6th of 12,,101,99,Parc Jarry
1969,Montreal Expos,52,110,6,1212608,14970,7th of 12,,102,100,Parc Jarry
